Station,Band Size,Bander,Recorder,Capture,Res vs Mig,Time,Net,Band #,Species,Chord,Flat Wing,Tail,Fat,BP,CP,B-molt,P-molt,S-molt,T-molt,Skull,Age,How aged,How aged,Sex,How sexed,How sexed,Weight,Month,Day,Year,Culmen,Bill Width,Notes
BARR,2,,,1,p,1000,27,0842-17301,EUST,126,,66,0,9,9,N,N,N,N,2,2,H,,F,3,,78.5,10,22,1988,,,SINGLE WHITE FEATHER ON UPPER TAIL COVERT
BARR,2,,,1,p,1000,24,0842-17302,EUST,126,,65,2,9,9,N,N,N,N,2,2,2,,M,3,,71,10,22,1988,,,
BARR,2,,,1,p,1000,27,0842-17303,EUST,126,,63,0,9,9,Y,N,N,N,2,2,H,,M,3,,80.5,10,22,1988,,,
BARR,2,,,1,p,830,27,0842-17304,EUST,119,,63,1,9,9,N,N,N,N,9,2,H,,M,13,,73.5,10,30,1988,,,THROAT IRR= 8 MM
BARR,2,,,1,p,730,27,0842-17305,EUST,120,,66,1,9,9,Y,N,N,N,3,1,2,,F,3,,72,10,31,1988,,,IRR= 6MM
BARR,2,,,1,p,730,27,0842-17306,EUST,127,,66,0,9,9,N,N,N,N,3,1,2,,F,,,78,10,31,1988,,,IRR= 6MM
BARR,2,,,1,p,1130,27,0842-17307,RWBL,121,,94,0,9,9,N,N,N,N,1,2,21,,M,P,,64.5,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17308,RWBL,121,,94,1,9,9,N,N,N,N,9,2,H,,M,P,,70,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17309,RWBL,126,,97,1,9,9,N,N,N,N,9,1,A,,M,P,,70,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17310,RWBL,123,,96,1,9,9,N,N,N,N,9,1,A,,M,P,,62.5,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17311,RWBL,128,,106,0,9,9,N,N,N,N,9,1,A,,M,P,,71,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17312,RWBL,118,,93,0,9,9,N,N,N,N,9,2,H,,M,P,,63,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17313,RWBL,131,,105,1,9,9,N,N,N,N,9,1,A,,M,P,,70,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17314,RWBL,126,,100,1,9,9,N,N,N,N,9,1,A,,M,P,,69,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17315,RWBL,127,,100,1,9,9,N,N,N,N,9,1,A,,M,P,,69,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17316,RWBL,123,,97,1,9,9,N,N,N,N,9,2,H,,M,P,,69,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17317,RWBL,120,,91,0,9,9,N,N,N,N,9,2,H,,M,P,,60.5,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17318,RWBL,123,,96,1,9,9,N,N,N,N,9,2,H,,M,P,,69,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17319,RWBL,124,,96,0,9,9,N,N,N,N,9,2,H,,M,P,,62.5,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17320,RWBL,123,,96,1,9,9,N,N,N,N,9,2,H,,M,P,,69,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17321,RWBL,118,,90,1,9,9,N,N,N,N,9,2,H,,M,P,,62.5,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17322,RWBL,128,,100,0,9,9,N,N,N,N,3,1,12,,M,P,,65,10,31,1988,,,
BARR,2,,,1,p,1130,27,0842-17323,RWBL,119,,88,1,9,9,N,N,N,N,9,2,H,,M,P,,62,10,31,1988,,,
BARR,2,,,1,w,815,27,0842-17324,NSHR,103,,111,0,9,9,N,N,N,N,9,1,A,,U,,,67.8,11,6,1988,14.7,,Exposed culmen 18.8
BARR,1A,,,1,s,730,32,0901-34406,BUOR,93,,74,3,9,9,Y,N,N,N,1,2,12,,F,P,,44,8,28,1988,,,
BARR,1A,,,1,m,800,94,0901-34407,SPTO,85,,100,0,9,9,Y,N,N,N,9,1,A,,M,P,,36.5,9,24,1988,,,
BARR,1A,,,1,m,830,31,0901-34408,SPTO,82,,97,3,9,9,N,N,N,N,1,2,12,,M,P,,43.5,10,2,1988,,,R4 white spot 16mm.  Bro2n edging to glossy black head w/some  brown centers
BARR,R,,,R,m,830,31,0901-34409,SPTO,87,,101,2,9,9,N,N,N,N,9,2,13,,M,1,,41.4,10,30,1988,,,
BARR,R,,,R,m,830,31,0901-34409,SPTO,87,,101,2,9,9,N,N,N,N,9,2,13,,M,P,,41.4,10,30,1988,,,
BARR,1A,,,1,m,1030,34,0901-34409,SPTO,87,,100,2,9,9,N,N,N,N,9,2,3,,M,P,,,10,16,1988,,,
BARR,1A,,,1,m,650,9,0901-34499,GTTO,77,,81,3,0,0,Y,N,N,N,1,2,27,,U,,,32.6,9,10,1989,,,
BARR,1A,,,1,m,730,9,0901-34500,GTTO,72,,81,2,0,0,Y,N,N,N,,2,H,,U,,,27.5,9,23,1989,,,"NOT SKULLED, LOOKS 1ISH MC"
BARR,1A,,,1,m,730,3,0901-34501,WOTH,100,,66,0,0,0,N,N,N,N,,0,,,U,,,46.7,9,30,1989,,,PROBABLY HY
